"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"Atax","Amiga","OCS","Original","1988","Eclipse","Small Jewelcase","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Atomino","Amiga","OCS","Original","1991","Psygnosis","Custom","Strategy","Yes","No","Yes, Not Working","Yes","Manual","","","","","",""
"Aunt Arctic Adventure","Amiga","OCS","Original","1989","Starbyte Software","Custom","Platform","Yes","No","Yes, Not fully working black screen","Yes","Disk","57 (39+(36/2))","","","","",""
"Austerlitz (Turcan)","Amiga","OCS","Original","1989","PSS","Mid Size","Strategy","No","Yes","","Yes","","","","","","",""
"Auto Duel","Amiga","OCS","Original","1988","ORIGIN","Tall","Role-Playing (RPG)","No","No","Yes, Working","Yes","","270 (€14,50+€11,00)","","","","",""
"Awesome","Amiga","OCS","Original","1990","Psygnosis","Custom","Action","Yes","No","Yes, Working","No, manual is missing but two set of disks, also no T-shirt","Disk","","","","","",""
"Axel's Magic Hammer","Amiga","","Original","1989","Gremlin","Mid size","Platform","Yes","No","Yes, Not Working (Error vaildating disk, Disk is unreadable)","Yes","","99","","","","",""
"Baal","Amiga","","Original","1988","Psyclapse","Mid size","Action","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Back To The Future Part III","Amiga","OCS","Original","1991","Image Works","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","77 (£5,63+£0,50)","","","","",""
"Backlash","Amiga","OCS","Original","1988","Novagen","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Bad Cat","Amiga","","Original","1987","Rainbow Arts","Custom","games","Yes","No","Yes, Not Working (stuck on black screen with music)","Yes","Disk","","","","","",""
"Bad Company","Amiga","OCS","Original","1990","Logotron Entertainment","Mid size","Action","Yes","No","","Yes, 3 disks","Disk","","","","","",""
"Badlands","Amiga","OCS","Original","1990","Domark","Mid size","Racing","Yes","No","Yes, Not Working (software failiure)","Yes","Disk","","","","","",""
"Badlands Pete","Amiga","","Original","1990","ARC","Mid size","Action","Yes","No","","Yes","","","","","","",""
"Balance Of Power: Geopolitics In The Nuclear Age","Amiga","OCS","Original","1987","Mindscape","Custom","Strategy","Yes","No","Yes, Working","Yes","","","","","","",""
"The Ball Game","Amiga","OCS","Original","1991","Electronic Zoo","Mid Size","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Ballistix","Amiga","","Original","1989","Psyclapse","Mid size","Action","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Bandit Kings of Ancient China","Amiga","OCS","Original","1990","KOEI Corporation","Big Box","Strategy","Yes","No","","No, Inner box missing","","","","","","",""
"Banshee","Amiga","AGA","Original","1994","Core Design","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Barbarian","Amiga","OCS","Original","1987","Psygnosis","Custom","Action","Yes","No","Yes, Working","Yes, including poster and extra budget release disk","Disk","","","","","",""
"Barbarian II","Amiga","OCS","Original","1991","Psygnosis","Custom","Action","Yes","No","Yes, Not fully working get stuck loading after intro","Yes","Disk","","","","","",""
"Bard's Tale Construction Set, The","Amiga","OCS","Original","1992","Interplay Entertainment Corp.","Custom","Utility","No","Yes","Yes, Working","Yes","None","341 $19,50+($43,65/3)","","","","",""
"The Bard's Tale III: Thief of Fate","Amiga","","Original","1991","Electronic Arts","Mid Size","Role-Playing (RPG)","Yes","No","","Yes","Code Wheel","","","","","",""
"Batman Returns","Amiga","OCS","Original","1993","Konami","Big Box","Action","Yes","No","","Yes","Disk","98 (£7,32+£0,50)","","","","",""
"Batman: The Movie","Amiga","","Original","1989","Data East USA, Inc.","Mid Size","Action, Racing","Yes","No","Yes, Not Working (stuck on white screen)","Yes, (two manuals and an extra disk 2) Also sticker intact","Disk","","","","","",""
"Battle Chess","Amiga","","Original","1988","Electronic Arts","Custom","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Battle Chess II: Chinese Chess","Amiga","","Original","1991","Electronic Arts","Mid Size","Strategy","Yes","No","","Yes","","90 (50+40)","","","","",""
"Battle Command","Amiga","","Original","1990","Ocean","Mid Size","Action, Simulation","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Battle Field Creator","Amiga","","Original","1994","Software Society","Tall","","No","Yes","Yes, Working","Yes","","","","","","",""
"Battle Isle","Amiga","OCS","Original","1991","Ubi Soft","Big Box","Strategy","Yes","No","Yes, Working","No, Disk 3 is missing","Manual","","","","","",""
"Battle Isle '93 - The Moon of Chromos","Amiga","OCS","Original","1993","Blue Byte Software GmbH","Big Box","Strategy","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Battle Master","Amiga","","Original","1990","Mirrorsoft","Big Box","Action, Strategy","Yes","No","","Yes","","","","","","",""
"Battle Squadron: The Destruction Of The Barrax Empire	","Amiga","OCS","Original","1989","Innerprise","Mid Size","Shooter","No","No","","Yes, 2 disks","Disk","419 (380+39)","","","","",""
"Battle Valley","Amiga","OCS","Original","1989","Hewson","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Battlehawks 1942","Amiga","","Original","1989","Lucasfilm Games","Mid size","Action, Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Battletoads","Amiga","OCS","Original","1994","Mindscape","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Beach Volley","Amiga","","Original","1989","Ocean","Mid size","Sports","Yes","No","Yes, Working","Yes","Disk","123 (119+(79/19))","","","","",""
"Beam","Amiga","OCS","Original","1989","Magic Bytes","Mid Size","Puzzle","Yes","No","Yes, Not Working (stock loading on white screen)","Yes","Disk","","","","","",""
"Beneath a Steel Sky","Amiga","OCS","Original","1994","Virgin","Big Box","Adventure","Yes","No","Yes, Booting not tested further","Yes, Also some disks from english version","","","","","","",""
"Benefactor","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Betrayal","Amiga","OCS","Original","1990","Rainbird","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"Better Dead Than Alien!","Amiga","OCS","Original","1988","Electra","Custom","Shooter","Yes","No","Yes, Not Working disk is bent","Yes, but very bad condition tear in box and disk is bent","Disk","","","","","",""
"Beyond Dark Castle","Amiga","OCS","Original","1989","Activision","Custom","Platform","Yes","No","Yes, Working","Yes","Manual","271 ($17,50+(26,25+2,5/3))","","","","",""
"Big Nose the Caveman","Amiga","","Original","1992","Codemasters","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Big Run","Amiga","","Original","1992","Storm","Big Box","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Bill's Tomato Game","Amiga","OCS","Original","1992","Psygnosis","Big Box","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Bionic Commando","Amiga","OCS","Original","1988","GO!","Custom","Action","Yes","No","","Yes, 2 extra disks from butget release","Disk","","","","","",""
"Birds of Prey","Amiga","","Original","1991","Electronic Arts","Big Box","Simulation","Yes","No","","Yes, but corner of manual cut","","","","","","",""
"The Black Cauldron","Amiga","OCS","Original","1987","Sierra","Sierra","Adventure","Yes","No","Yes, Not Working","Yes","","342 (300+42)","","","","",""
"Black Crypt","Amiga","","Original","1992","Electronic Arts","Big Box","Role-Playing (RPG)","Yes","No","","No, missing manual","","","","","","",""
"Black Shadow","Amiga","OCS","Original","1987","CrL","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Black Tiger","Amiga","","Original","1990","U.S. Gold","Mid size","Platform","Yes","No","Yes, Not Working (sofware failiure)","Yes","Disk","","","","","",""
"Blade Warrior","Amiga","OCS","Original","1991","Image Works","Mid Size","Fighting","Yes","No","Yes, Working","Yes, but french version box and manual, game in english","Disk","","","","","",""
"Blastaball","Amiga","","Original","1988","Mastertronic Group Ltd.","","Sports","Yes","No","","","","","","Extremely Rare","","",""
"Blastar","Amiga","","Original","1993","Core Design","Big Box","Shooter","Yes","No","","Yes","","319 (£19,99+£5,50)","","","","",""
"Blazing Thunder","Amiga","OCS","Original","1991","Hi-Tec Software Ltd.","Custom","Shooter","Yes","No","Yes, Not Working (software failiure)","Yes","Disk","","","","","",""
"Blitz Tennis","Amiga","OCS+AGA","Original","1997","Acid Software","Big Box","Sports","No","Yes","Yes, Working","Yes","","","","","","",""
"Blitzkrieg At The Ardennes","Amiga","OCS","Original","1988","Internecine","Big Box","Strategy","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Blob","Amiga","","Original","1993","Core Design","Big Box","Action, Strategy","Yes","No","","Yes","","","","","","",""
"Blockout","Amiga","","Original","1990","California Dreams","Tall","Puzzle","Yes","No","","Yes","","196 ($5+($43,65/3)","","","","",""
"Blood Money","Amiga","OCS","Original","1989","Psygnosis","Custom","Action","Yes","No","Yes, Working","No, missing manual","Disk","","","","","",""
"BloodNet","Amiga","AGA","Original","1994","GameTek, Inc.","Big Box","Adventure, Role-Playing (RPG)","Yes","No","Yes, General strange behaviour","Yes","Probablly Manual","","","","","",""
"Bloodwych","Amiga","OCS","Original","1989","Image Works","Mid size","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The blue & the Grey","Amiga","OCS","Original","1994","Impressions","Big Box","Strategy","No","Yes","Yes, Not Working (read error)","Yes","","","","","","",""
"Bob's Bad Day","Amiga","OCS","Original","1993","Psygnosis","Big Box","Action","Yes","No","Yes, Not Working, stuck on black screen","Yes","Disk","","","","","",""
"Bobo","Amiga","OCS","Original","1988","Infogrames","Custom","Multi","Yes","No","","Yes","Disk","","","","","",""
"Body Blows","Amiga","","Original","1993","Team17","Big Box","Action","Yes","No","","Yes, 2 set of disks","","","","","","",""
"Body Blows Galactic","Amiga","","Original","1993","Team17","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Bonanza Bros.","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Action","Yes","No","","Yes","Disk","","","","","",""
"Borobodur: The Planet Of Doom","Amiga","","Original","1992","Thalamus","Mid size","Multi","Yes","No","Yes, Working","Yes","Disk","127 (100+(80/3))","","","","",""
"Boston Bomb Club","Amiga","","Original","1991","Silmarils","Mid Size","Puzzle","Yes","No","","Yes","","35 (19+(65/4)","","","","",""
"Brain Blasters","Amiga","OCS","Original","1991","Ubi Soft","Mid size","Puzzle","Yes","No","Yes, Not Working","Yes","Disk","108 (59+49)","","","","",""
"Bram Stoker's Dracula","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Brat","Amiga","OCS","Original","1991","Image Works","Mid size","Action, Strategy","Yes","No","Yes, Working","Yes","Disk","94 (£5,35+£2,13)","","","","",""
"Brataccas","Amiga","OCS","Original","1986","Psygnosis","Custom","Action Adventure","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Breach 2","Amiga","OCS","Original","1990","Impressions","Mid Size","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Breathless","Amiga","AGA","Original","1995","Power Computing Ltd.","Big Box","Action","Yes","No","Yes, Not Working (stops loading after intro)","Yes","Code Sheet","","","","","",""
"Brian the Lion Starring In: Rumble in the Jungle","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Brigade Commander","Amiga","OCS","Original","1991","Electronic Zoo","Big Box","Strategy","No","Yes","Yes, Not Working (read error)","Yes","","65 (49+(48/3))","","","","",""
"Brutal Sports Football","Amiga","OCS","Original","1993","Millennium","Big Box","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Bubba 'N' Stix","Amiga","","Original","1994","Core Design","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Bubble Bobble","Amiga","OCS","Original","1989","Taito","Custom","Platform","Yes","No","","Yes","","","","","","",""
"Bubble Heroes","Amiga","AGA","Original","2000","Crystal Interactive","Jewel Case","Puzzle","No","No","No, Shrink wrapped","Yes, new","None","135 (100+35)","","","","",""
"Buck Rogers: Countdown to Doomsday","Amiga","OCS","Original","1990","SSI","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Budokan: The Martial Spirit","Amiga","","Original","1990","Electronic Arts","Mid size","Fighting","Yes","No","","Yes","","","","","","",""
"Bug Bomber","Amiga","OCS","Original","1992","Global Software","Big Box","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Buggy Boy","Amiga","OCS","Original","1988","Elite","Jewel Case","Racing","No","No","Yes, Working","Yes","Disk","250 (£10+£10)","","","","",""
"Builderland: The Story Of Melba","Amiga","OCS","Original","1991","Loriciel","Mid Size","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Bully's Sporting Darts","Amiga","","Original","1993","Alternative Software Ltd.","Mid Size","Simulation","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Bump 'N' Burn","Amiga","OCS","Original","1994","Grandslam Video Ltd.","Big Box","Racing","Yes","No","","Yes","","","","","","",""
"Bunny Bricks","Amiga","OCS","Original","1992","Silmarils","Big Box","Action, Sports","Yes","No","Yes, Not fully working (Error 13)","Yes","Disk","","","","","",""
"Burger Man","Amiga","OCS","Original","1991","Byte Back","Jewel Case","Platform","Yes","No","Yes, Working","Yes","Disk","67 (49+(53/3))","","","","",""
"Burntime","Amiga","OCS","Original","1993","Max Design GesMBH","Big Box","Role-Playing (RPG), Strategy","Yes","No","","Yes","","","","","","",""
"Bush Buck: Global Treasure Hunter","Amiga","OCS","Original","1991","Activision","Big Box","Strategy","No","Yes","Yes, Not fully working stops loading after a while","Yes","","","","","","",""
"Butcher Hill","Amiga","OCS","Original","1989","Gremlin","Jewel Case","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Cadaver","Amiga","","Original","1990","Image Works","Mid size","Action","Yes","No","Yes, Working","Yes, two sets of disks","Disk","","","","","",""
"Caesar","Amiga","OCS","Original","1992","Impressions","Big Box","Simulation, Strategy","Yes","No","Yes, Not Working (read error)","Yes","","","","","","",""
"California Games","Amiga","","Original","1988","Epyx, Inc.","Custom","Sports","Yes","No","Yes, Working","Yes, 3 set of disks","Disk","","","","","",""
"California Games II","Amiga","OCS","Original","1992","US Gold","Big Box","Sports","No","No","Yes, Working","Yes","Manual","140  (250/2+29/2)","","","","",""
"Campaign","Amiga","OCS","Original","1992","Empire","Big Box","Simulation, Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Cannon Fodder","Amiga","OCS","Original","1993","Virgin","Big Box","Action, Strategy","Yes","No","Yes, Not Working (software failure - Guru Meditation)","Yes","","","","","","",""
"Cannon Fodder 2","Amiga","OCS","Original","1994","Virgin","Big Box","Action, Strategy","Yes","No","Yes, Not Working (black screen after a while)","Yes","","","","","","",""
"Capital Punishment","Amiga","AGA","Original","1996","PXL computers","Big Box","Action","Yes","No","Yes, Working","Yes, two set of disks and manuals","Code Sheet","","","","","",""
"Capone","Amiga","","Original","1988","Actionware Corporation","Custom","Action","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Captain Dynamo","Amiga","","Original","1992","Codemasters","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Captain Planet","Amiga","OCS","Original","1991","Mindscape","Big Box","Action","Yes","No","Yes, Working","Yes, 3 disks","Disk","","","","","",""
"Captian fizz","Amiga","","Original","1988","Psygnosis","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Captive","Amiga","OCS","Original","1990","Mindscape, Inc.","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","","","","","",""
"Cardiaxx","Amiga","OCS","Original","1991","Team17","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Cardinal of the Kremlin","Amiga","OCS","Original","1991","Accolade","Big Box","Simulation, Strategy","No","Yes","Yes, Working","Yes","Manual","90 (40+50)","","","","",""
"The Carl Lewis Challenge","Amiga","OCS","Original","1992","Psygnosis","Big Box","Sports","Yes","No","Yes, Not fuly working graphics errors when starting game","Yes","Disk","","","","","",""
"Carrier Command","Amiga","OCS","Original","1988","Rainbird","Tall","Strategy","Yes","No","Yes, Not fully working seams stuck loading on title screen","Yes","None","","","","","",""
"Carthage","Amiga","OCS","Original","1990","Psygnosis","Custom","Action, Strategy","Yes","No","Yes, Working","Yes, two set of disks but inner box missing one part","","","","","","",""
