"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"Magic Boy","Amiga","OCS","Original","1993","Empire","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Magic Fly","Amiga","","Original","1990","Electronic Arts","Mid size","Shooter","Yes","No","","Yes","","","","","","",""
"The Magic Garden","Amiga","OCS","Original","1991","Electronic Zoo","Mid Size","Puzzle","No","Yes","Yes, Working","Yes","Manual","","","Extremely Rare","","",""
"Magic Marble","Amiga","","Original","1989","Sphinx","Mid Size","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Magicland Dizzy","Amiga","","Original","1991","Codemasters","Small cardboard","Platform","Yes","No","Yes, Working","Yes","Disk","103 (99+(79/19))","","","","",""
"The Manager","Amiga","OCS","Original","","Software 2000","Big Box","Sports","No","Yes","","Yes","","210 (155+55)","","","","",""
"Manchester United Premier League Champions","Amiga","OCS","Original","1994","Krisalis","Big Box","Action, Simulation, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Manchester United: The Double","Amiga","","Original","1995","Krisalis","Big Box","Simulation, Sports","Yes","No","Yes, Working (but sometimes trouble reading disks)","Yes","Dsik","","","","","",""
"Manhunter 2: San Francisco","Amiga","","Original","1990","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Working","Yes","None","","","","","",""
"Manhunter: New York","Amiga","","Original","1988","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Maniac Mansion","Amiga","","Original","1989","Lucasfilm Games","Big Box","Adventure","Yes","No","Yes, Working","No, Disks are from Budget release","None","","","","","",""
"Manix","Amiga","OCS","Original","1990","Millennium","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Marble Madness","Amiga","","Original","1986","Electronic Arts","Custom","Maze game","Yes","No","Yes, Working","Yes","None","263 (£17+£4)","","","","",""
"Marvin's Marvellous Adventure","Amiga","AGA","Original","1994","21st Century Entertainment","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Matrix Marauders","Amiga","","Original","1990","Psyclapse","Mid size","Action, Racing","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Maupiti island","Amiga","","Original","1991","Lankhor","Mid Size","Adventure","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mean Machine","Amiga","","Original","1991","Codemasters","Small cardboard","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mean Streets","Amiga","OCS","Original","1990","U.S. Gold","Mid Size","Action, Adventure","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Mega lo Mania","Amiga","OCS","Original","1991","Image Works","Big Box","Strategy","Yes","No","Yes, Working","Yes, extra disk 1","Disk","","","","","",""
"Mega Phoenix","Amiga","","Original","1991","Dinamic Software","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mega Sports","Amiga","OCS","Original","1992","U.S. Gold","Big Box","Action, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mega Twins","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Platform","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"MegaTraveller 1: The Zhodani Conspiracy","Amiga","OCS","Original","1991","Empire","Big Box","Role-Playing (RPG)","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"MegaTraveller 2: Quest for the Ancients","Amiga","OCS","Original","1992","Empire","Big Box","Role-Playing (RPG)","No","Yes","Yes, Working","Yes","","","","","","",""
"Menace","Amiga","","Original","1988","Psygnosis","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mercenary III: The Dion Crisis","Amiga","OCS","Original","1991","Novagen","Big Box","Adventure, Simulation","Yes","No","","Yes","","","","","","",""
"Mickey's Runaway Zoo","Amiga","","Original","1991","Disney Software","Mid Size","Educational","No","Yes","Yes, Not Working (disk has read/write error)","Yes","","59 (21+38)","","","","",""
"Micro Machines","Amiga","","Original","1993","Codemasters","Big Box","Racing","Yes","No","","Yes","","","","","","",""
"Microprose Soccer","Amiga","OCS","Original","1989","MicroProse","Tall","Action, Sports","Yes","No","","Yes","Disk","","","","","",""
"Midwinter","Amiga","OCS","Original","1990","Rainbird","Big Box","Action Adventure","Yes","No","","Yes","","","","","","",""
"Mig 29 Soviet Fighter","Amiga","","Original","1990","Codemasters","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","48 (£3,37+£0,50)","","","","",""
"Might and Magic II: Gates to Another World","Amiga","","Original","1990","New World Computing, Inc.","","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk 1 has read/wrike error)","Yes","","","","","","",""
"Might and Magic III: Isles of Terra","Amiga","","Original","1992","New World Computing, Inc.","Big Box","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk 1 has read/wrike error)","Yes","","","","","","",""
"Mike The Magic Dragon","Amiga","","Original","1987","Kingsoft","Small Jewelcase","Platform","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Millennium 2.2","Amiga","","Original","1989","Electric Dreams","Custom","Strategy","Yes","No","Yes, Working","Yes, 2 set of disks","Disk","","","","","",""
"Mindroll","Amiga","","Original","1989","Epyx, Inc.","Tall","Puzzle","Yes","No","Yes, Not Working (read/write error)","Yes","Disk","","","","","",""
"Mindshadow","Amiga","","Original","1985","Activision","Custom","Adventure","Yes","No","Yes, Working","Yes","None","","","","","",""
"Mini Golf","Amiga","OCS","Original","1988","Magic Bytes","Custom","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mini Golf Plus","Amiga","OCS","Original","1988","Starbyte Software","Jewel Case","Sports","Yes","No","Yes, Working","Yes","Disk","67 (49+(36/2))","","","","",""
"Mission Elevator","Amiga","OCS","Original","1987","Euro Gold Starline","Small Jewelcase","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mixed-Up Mother Goose","Amiga","OCS","Original","1988","Sierra","Sierra","Adventure","No","Yes","No, Shrink wrapped","Yes, new","","595 ($35+$24,5)","","","","",""
"Moebius: The Orb Of Celestial Harmony","Amiga","OCS","Original","1988","ORIGIN","Tall","Role-Playing (RPG)","Yes","No","Yes, Not Working (read error)","Yes","","","","","","",""
"Monkey Island 2: LeChuck's Revenge","Amiga","","Original","1992","Lucasfilm Games","Big Box","Adventure","Yes","No","Yes, Working","Yes, two sets of disks and 2 code wheels","Code Wheel","","","","","",""
"Monty Python's Flying Circus","Amiga","OCS","Original","1991","Virgin","Mid Size","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Moonstone: A Hard Days Knight","Amiga","OCS","Original","1991","Mindscape","Big Box","Action, Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Morph","Amiga","OCS","Original","1993","Millennium","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Mortal Kombat","Amiga","OCS","Original","1993","Virgin","Big Box","Action","Yes","No","Yes, Not fully working get stuck loading","Yes, two set of disks","Disk","","","","","",""
"Mousetrap","Amiga","OCS","Original","1987","Prism Leisure","Small Jewelcase","Platform","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Mr. HELI","Amiga","OCS","Original","1989","Firebird","Mid size","Shooter","Yes","No","Yes, Working","No, manual is missing","Disk","","","Extremely Rare","","",""
"Multi Player Soccer Manager","Amiga","","Original","1991","CDS Software Ltd","Mid Size","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Murder","Amiga","OCS","Original","1990","U.S. Gold","Mid Size","Adventure","Yes","No","Yes, Working","Yes","Manual","69 (£5,00+£0,50)","","","","",""
"Murders In Space","Amiga","","Original","1990","Infogrames","Mid size","Adventure","Yes","No","","Yes","","","","","","",""
"Mystical","Amiga","","Original","1990","Intogrames","Mid size","Shooter","Yes","No","","Yes, extra disk and extra code sheet","Code Sheet","166 (£4,99+(£16,64/2)","","","","",""
"Napoleon I","Amiga","OCS","Original","1991","Internecine","Custom","Strategy","No","Yes","Yes, Working","Yes","","","","","","",""
"NARC","Amiga","","Original","1990","Ocean","Mid size","Action","Yes","No","","Yes","","","","","","",""
"Narco Police","Amiga","OCS","Original","1991","Dinamic Software","Mid size","Shooter","Yes","No","","Yes","Disk","509 (£26+£14,72)","","Extremely Rare","","",""
"Naughty Ones","Amiga","OCS","Original","1994","Interactivision A/S","Big Box","Action","Yes","No","","Yes","Code Sheet","","","","","",""
"Navy SEALs","Amiga","","Original","1991","Ocean","Mid size","Platform","Yes","No","","Yes","","","","","","",""
"Nebulus","Amiga","OCS","Original","1988","Hewson","Jewel Case","Action, Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Neighbours","Amiga","","Original","1991","VideoBionics","Small cardboard","Adventure","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Netherworld","Amiga","OCS","Original","1989","Hewson","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","53 (£3,75+£0,50)","","","","",""
"Never Mind","Amiga","","Original","1989","Psygnosis","Mid size","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"New Zealand Story","Amiga","OCS","Original","1989","Ocean","Jewel Case","Platform","Yes","No","Yes, Working","Yes, 3 set of disks","Disk","","","","","",""
"Nick Faldo's Championship Golf","Amiga","OCS","Original","1993","Grandslam Video Ltd.","Big Box","Simulation, Sports","Yes","No","","Yes, 2 set of disks","","","","","","",""
"Nigel Mansell's Grand Prix","Amiga","OCS","Original","1988","Martech","Custom","Simulation, Racing","Yes","No","Yes, Working","Yes, 2 disks","Disk","","","","","",""
"Night Shift","Amiga","","Original","1990","Lucasfilm Games","Big Box","Action","Yes","No","","No, Atari ST version and Amiga Budget Release","Code Wheel","","","","","",""
"Nightdawn","Amiga","OCS","Original","1989","Magic Bytes","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Ninja Spirit","Amiga","","Original","1990","Activision","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","102 (£6,02+£2,13)","","","","",""
"Nippon Safes, Inc.","Amiga","OCS","Original","1993","Dynabyte","Big Box","Adventure","Yes","No","","Yes","","137 (89+48)","","","","",""
"Nitro","Amiga","OCS","Original","1990","Psygnosis","Custom","Racing","Yes","No","No, Shrink wrapped","Yes","Disk","","","","","",""
"Nitro Boost Challenge","Amiga","","Original","1989","Codemasters","Jewel Case","Racing","Yes","No","Yes, Not Working","Yes","Disk","45 (£3,12+£0,50)","","","","",""
"No Greater Glory: The Civil War","Amiga","","Original","1992","Strategic Simulations, Inc.","Custom","Strategy","No","Yes","","Yes","","67 (18+49)","","","","",""
"North & South","Amiga","","Original","1989","Infogrames","Mid size","Action Strategy","Yes","No","","Yes, extra disk","","701 (£45+£11,11)","","","","",""
"Nuclear War","Amiga","OCS","Original","1989","New World Computing, Inc.","Custom","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Obitus","Amiga","OCS","Original","1991","Psygnosis","Custom","Action, Role-Playing (RPG)","Yes","No","Yes, Working","Yes, two set of disks and manuals, but missing T-shirt","Disk","109 £8,70","","","","",""
"Obliterator","Amiga","OCS","Original","1988","Psygnosis","Custom","Action","Yes","No","Yes, Working","Yes, two set of disks and two posters","Disk","","","","","",""
"Odyssey","Amiga","OCS","Original","1995","Audiogenic Software Ltd.","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Off Shore Warrior","Amiga","OCS","Original","1988","Titus France SA","Mid Size","Action, Sports, Racing","Yes","No","","Yes","","","","","","",""
"Official Everton FC Intelligensia","Amiga","","Original","1990","Amfas Computer Software Ltd.","Mid Size","Sports","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Ogre","Amiga","OCS","Original","1986","ORIGIN","Tall","Strategy","Yes","No","Yes, Not fully working stops loading after a while","Yes","","269 (220+49)","","","","",""
"Oh No! More Lemmings","Amiga","OCS","Original","1991","Psygnosis","Custom","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Oil Imperium","Amiga","OCS","Original","1989","reLINE Software","Mid Size","Strategy","Yes","No","Yes, Working","Yes","Code Sheet","","","","","",""
"Omega","Amiga","OCS","Original","1989","ORIGIN","Tall","Strategy","Yes","No","Yes, Working","Yes","","","","","","",""
"Omnicron Conspiracy","Amiga","OCS","Original","1990","Image Works","Mid Size","Adventure","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"On The Road","Amiga","OCS","Original","1990","Lifetimes","Custom","Strategy","No","Yes","","Yes","","","","","","",""
"One Step Beyond","Amiga","","Original","1993","Ocean","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"One-On-One","Amiga","OCS","Original","1985","Electronic Arts","Custom","Sports","Yes","No","Yes, Working","Yes","None","90 (55+35)","","","","",""
"onEscapee","Amiga","AGA & RTG","Original","1997","Sadeness","Jewel Case","Action Adventure","No","Yes","","Yes","None","72","","","","",""
"Ooops Up","Amiga","","Original","1991","Demonware","Mid Size","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Operation Stealth","Amiga","OCS","Original","1990","U.S. Gold","Big Box","Action, Adventure","Yes","No","Yes, Working","Yes, two set of disks","Color sheet (custom)","","","","","",""
"Operation Thunderbolt","Amiga","","Original","1989","Ocean","Mid size","Action","Yes","No","","Yes","","","","","","",""
"Operation Wolf","Amiga","","Original","1988","Ocean","Tall","Action","Yes","No","","Yes, two set of disks","","","","","","",""
"Orbit 2000","Amiga","OCS","Original","1991","Byte Back","Jewel Case","Shooter","No","Yes","Yes, Working","Yes","Disk","","","Extremely Rare","","",""
"Ork","Amiga","OCS","Original","1991","Psygnosis","Custom","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Out Run","Amiga","","Original","1988","Sega","Custom","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Out Run","Amiga","","Original","1989","US Gold","Custom","Racing","Yes","No","Yes, Working","No, manual is missing but audiotape is unvlkuded disk is probably from another version","Disk","","","","","",""
"OutRun Europa","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Overdrive","Amiga","","Original","1993","Team17","Big Box","Action, Sports, Racing","Yes","No","","Yes","","","","","","",""
"Overkill","Amiga","AGA","Original","1993","Mindscape","Big Box","Shooter","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Overlord","Amiga","OCS","Original","1994","Virgin","Big Box","Simulation","Yes","No","Yes, Not Working (software error - taks held Finish ALL disk activity Select CANCEL to reset/debug)","Yes","","","","","","",""
"Overrun!","Amiga","OCS","Original","1990","SSI","Tall","Strategy","No","Yes","No, Shrink wrapped","Yes, new","","","","","","",""
"P.O.W.","Amiga","","Original","1988","Actionware Corporation","Custom","Shooter","Yes","No","Yes, Not Working (read/write error)","Yes","Disk","87 (45+42)","","","","",""
"Pac-Land","Amiga","OCS","Original","1989","Grandslam Entertainments Ltd.","Small Jewelcase","Platform","Yes","No","Yes, Not Working","Yes, German manual","Disk","","","","","",""
"Pac-Mania","Amiga","","Original","1988","Grandslam Entertainments Ltd.","Mid size","Action","Yes","No","Yes, Working","No, missing manual, but poster included","Disk","","","","","",""
"Pacific Islands","Amiga","OCS","Original","1992","Empire","Big Box","Action, Simulation, Strategy","Yes","No","Yes, Working","Yes, two set of disks","","","","","","",""
"Paladin","Amiga","","Original","1988","Omnitrend","Custom","Role-Playing (RPG)","Yes","No","Yes, Working (one disk is working the other is not working","Yes","Manual","399 ($24,95+$14,95)","","","","",""
"Panzer Battles","Amiga","OCS","Original","1991","SSG Strategic Studies Group Pty Ltd.","Big Box","Strategy","No","Yes","","Yes","","68 (40+(55/2))","","","","",""
"Paperboy 2","Amiga","OCS","Original","1992","Mindscape","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Patrician","Amiga","OCS","Original","1992","Ascon GmbH","Big Box","Simulation, Strategy","Yes","No","","Yes","","","","","","",""
"The Pawn","Amiga","OCS","Original","1986","Rainbird","Tall","Adventure","Yes","No","Yes, Not Working (Error vaildating disk, Disk is unreadable)","Yes","","","","","","",""
"Pegasus","Amiga","","Original","1991","Gremlin","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Perihelion","Amiga","OCS","Original","1993","Psygnosis","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Peter Beardsley's International Football","Amiga","","Original","1988","Grandslam Entertainments Ltd.","Mid size","Sports","Yes","No","Yes, Working","Yes","Disk","90 (45+45)","","","","",""
"PGA Tour Golf","Amiga","","Original","1991","Electronic Arts","Big Box","Sports","Yes","No","","Yes","","","","","","",""
"Phantasie III : The Wrath of Nikademus","Amiga","","Original","1987","SSI","SSI","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","None","","","","","",""
"Phantasm","Amiga","OCS","Original","1988","Exocet","Custom","Shooter","No","Yes","Yes, Not fully working software failiure after intro screen","Yes, but maybe lacking part of manual","Disk","","","","","",""
"Phantom Fighter","Amiga","OCS","Original","1988","Martech","Custom","Shooter","Yes","No","","Yes","","","","","","",""
"Pictionary: The Game of Quick Draw","Amiga","OCS","Original","1989","Domark","Custom","Strategy","No","Yes","Yes, Working","Yes","","94 (£5,35+£2,13)","","","","",""
"Pierre Le Chef Is ... Out To Lunch","Amiga","AGA","Original","1994","Mindscape","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk","84 (£6,26+£0,50)","","","","",""
"Pinball Fantasies AGA","Amiga","AGA","Original","1992","21st Century Entertainment","Big Box","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Pinball Illusions","Amiga","AGA","Original","1995","21st Century Entertainment","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","144 (£7.99 + £3.50)","","","","",""
"Pinball Mania","Amiga","AGA","Original","1995","21st Century Entertainment","Big Box","Action","Yes","No","Yes, Working","Yes, Also disks from dynamite pack","Disk","","","","","",""
"Pinball Wizard","Amiga","","Original","1987","Kingsoft","Small Jewelcase","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Pioneer Plague","Amiga","","Original","1988","Mandarin Software","Mid Size","Shooter","No","Yes","Yes, Working","Yes, one extra disk (not working)","None","","","","","",""
"Piracy On The High Seas","Amiga","OCS","Original","1992","I.C.E","Big Box","Action Adventure","No","Yes","","Yes","Disk","","","","","",""
"Pirates!","Amiga","","Original","1990","MicroProse","Tall","Action Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Pit-Fighter","Amiga","OCS","Original","1991","Domark","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Pixie and Dixie","Amiga","","Original","1993","Alternative Software Ltd.","Mid Size","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Platoon","Amiga","","Original","1988","Ocean","Tall","Shooter","Yes","No","","Yes, with audio tape, but manual is from 8 bit version","","","","","","",""
"Plotting","Amiga","","Original","1990","Ocean","Mid size","Puzzle","Yes","No","","Yes","","116 (£8,76+£0,50)","","","","",""
"Plutos","Amiga","OCS","Original","1987","Microvalue","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","63 (£0,99+£4)","","","","",""
"Police Quest","Amiga","","Original","1987","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Not Working (disk has read/write error)","Yes","","","","","","",""
"Police Quest 2: The Vengeance","Amiga","","Original","1989","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Police Quest 3: The Kindred","Amiga","","Original","1992","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Working","Yes","None","","","","","",""
"Pool of Radiance","Amiga","OCS","Original","1990","U.S. Gold","Mid size","Role-Playing (RPG)","Yes","No","","Yes","Code Wheel","","","","","",""
"Pools of Darkness","Amiga","","Original","1992","SSI","SSI","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk 1 has read/wrike error)","No, Adventurer's journal missing","","","","","","",""
"Populous","Amiga","","Original","1989","Electronic Arts","Mid Size","Strategy","Yes","No","","Yes, Also disk from award winners compilation","","","","","","",""
"Populous II: Trials of the Olympian Gods","Amiga","","Original","1991","Electronic Arts","Big Box","Strategy","Yes","No","","Yes, Also contains budget release disks","","","","","","",""
"Ports of Call","Amiga","","Original","1987","Aegis International","Custom","Simulation","Yes","No","Yes, Working (Red box version is working, White box version has ""not a dos disk"" error","Yes","None, Manual","","","","","",""
"Postman Pat","Amiga","OCS","Original","1989","Alternative","Custom","Action","Yes","No","Yes, Working","Yes","Disk","63 (£4,50+£0,50)","","","","",""
"Power Drift","Amiga","","Original","1989","Activision","Mid Size","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Power Drive","Amiga","OCS","Original","1994","U.S. Gold","Big Box","Action, Racing","Yes","No","Yes, Not fully working sopftware failiure before game starts","Yes","Disk","","","","","",""
"PowerMonger","Amiga","","Original","1990","Electronic Arts","Big Box and Mid size","Strategy","Yes","No","","Yes, two extra budget release disks","","","","","","",""
"Powerplay: The game of the Gods","Amiga","OCS","Original","1988","Arcana","Custom","","Yes","No","Yes, Working","Yes","Disk","70 (£5,07+£0,50)","","","","",""
"Powerstyx","Amiga","OCS","Original","1988","Axxiom","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Predator 2","Amiga","OCS","Original","1991","Image Works","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Prehistorik","Amiga","OCS","Original","1991","Titus","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Premier Manager 2","Amiga","","Original","1993","Gremlin","Big Box","Simulation, Sports, Strategy","Yes","No","","Yes, two set of disks, manual and code wheel","Code Wheel","","","","","",""
"Premier Manager 3","Amiga","","Original","1994","Gremlin","Big Box","Sports, Strategy","Yes","No","","Yes","Code Wheel","","","","","",""
"Premiere","Amiga","","Original","1992","Core Design","Big Box","Action","Yes","No","","Yes","","","","","","",""
"The President is Missing","Amiga","OCS","Original","1988","Cosmi Corporation","Custom","Adventure","No","Yes","Yes, Not fully working disk  has read/write error","Yes","","","","","","",""
"Prime Mover","Amiga","OCS","Original","1993","Psygnosis","Big Box","Action, Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Prince","Amiga","","Original","1989","ARC","Mid size","Strategy","Yes","No","","Yes","","69","","","","",""
"Prison","Amiga","OCS","Original","1989","Krisalis","Mid Size","Action Adventure","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Pro Boxing Simulator","Amiga","","Original","1991","Codemasters","Small cardboard","Sports","Yes","No","Yes, Working","Yes","Disk","53 (£3,75+£0,50)","","","","",""
"Pro Powerboat Simulator","Amiga","","Original","1990","Codemasters","Jewel Case","Action, Sports, Racing","Yes","No","Yes, Not Working (disk error)","Yes","Disk","","","","","",""
"Pro Tennis Simulator","Amiga","","Original","1990","Codemasters","Jewel Case","Sports","Yes","No","Yes, Not Working","Yes","Disk","41 (£2,81+£0,50)","","","","",""
"Pro Tennis Tour","Amiga","OCS","Original","","Ubi Soft","Mid Size","Sports","No","No","","Yes","","","","","","",""
"Pro Tennis Tour 2","Amiga","OCS","Original","1991","Ubi Soft","Mid size","Sports","Yes","No","Yes, Working","No, manual is missing and code sheet is torn","Code Sheet","41 (£2,81+£0,50)","","","","",""
"Professional Football Simulation","Amiga","OCS","Original","1989","Guildhall Leisure Services Ltd.","Big Box","Sports","No","Yes","","Yes","","","","","","",""
"Project-X","Amiga","","Original","1992","Team17","Big Box","Action","Yes","No","","Yes, but no poster","","","","","","",""
"Projectyle","Amiga","","Original","1990","Electronic Arts","Mid size","Sports","Yes","No","","Yes (New, shrink wrapped)","","","","","","",""
"ProSoccer 2190","Amiga","","Original","1990","Vulture Publishing Limited","Mid Size","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Protector (Paradox)","Amiga","OCS","Original","1986","Prism Leisure","Small Jewelcase","Shooter","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Puggsy","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action","Yes","No","Yes, Working","Yes, two set of disks and manuals","Disk","","","","","",""
"Push-Over","Amiga","","Original","1992","Ocean","Big Box","Puzzle","Yes","No","","Yes","","","","","","",""
"Putty","Amiga","","Original","1992","System 3 Software Ltd.","Big Box","Platform","Yes","No","Yes, Not Working (guru meditation)","Yes","","133 (129+(79/19))","","","","",""
"Putty Squad","Amiga","AGA","Original","2013","System 3 Software Ltd.","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk (or none)","","","","","",""
"Puzznic","Amiga","","Original","1990","Ocean","Mid Size","Puzzle","Yes","No","","Yes","","124 (£9,39+£0,50)","","","","",""
"Pyramax","Amiga","","Original","1990","ARC","Mid size","Maze game","Yes","No","","Yes","","166 (£4,99+(£16,64/2)","","","","",""
"Qatbol","Amiga","","Original","1990","Ariola Soft","Mid Size","Sports","No","Yes","Yes, Working","Yes","Disk","","","Extremely Rare","","",""
"Quadralien","Amiga","OCS","Original","1988","Logotron Ltd","Custom","Strategy","Yes","No","Yes, Not Working (disk 1 does not boot)","Yes","","","","","","",""
"Quartz","Amiga","OCS","Original","1989","Firebird","Mid Size","Shooter","Yes","No","","Yes","","","","","","",""
"Quasar","Amiga","OCS","Original","1989","White Panther","Jewel Case","Shooter","No","Yes","Yes, Not Working","Yes","Disk","","","","","",""
"Quest for Glory II: Trial by Fire","Amiga","","Original","1990","Sierra On-Line","Sierra","Adventure, Role-Playing (RPG)","Yes","No","Yes, Working","Yes","None","","","","","",""
"Quest For The Time-Bird","Amiga","","Original","1989","Infogrames","Mid Size","Adventure","Yes","No","","Yes","","","","","","",""
"Questron II","Amiga","OCS","Original","1988","SSI","Tall","Role-Playing (RPG)","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Quiwi","Amiga","","Original","1987","Kingsoft","Small Jewelcase","games","No","Yes","Yes, Not Working","Yes","Disk","","","","","",""
"R-Type","Amiga","OCS","Original","1989","Electric Dreams","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"R-Type II","Amiga","","Original","1991","Activision","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Race Drivin'","Amiga","OCS","Original","1992","Domark","Big Box","Simulation, Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Raider","Amiga","OCS","Original","1989","Impressions","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Rainbow Islands","Amiga","","Original","1990","Ocean","Mid size","Action","Yes","No","","Yes, extra disk","","","","","","",""
"Rally Championships","Amiga","AGA","Original","1994","Flair","Big Box","Action, Racing","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Rally Cross Challenge","Amiga","OCS","Original","1989","Anco","Mid Size","Racing","No","No","","Yes","Disk","","","","","",""
"Rampage","Amiga","OCS","Original","1989","Activision","Jewel Case","Fighting","No","No","Yes, Working","Yes","Disk","242 (€15+€7)","","","","",""
"Reach For The Skies","Amiga","OCS","Original","1993","Virgin","Big Box","Simulation","No","Yes","Yes, Not fully working disk 3 has read/write error","Yes","","147 (92+55)","","","","",""
"The Real Ghostbusters","Amiga","OCS","Original","1988","Activision","Jewel Case","Action","Yes","No","Yes,Not fully working stuck on balck screen Both disks are the same so likly incompatable rather than faulty","Yes, two disks","Disk","","","","","",""
"Realm Of The Trolls","Amiga","OCS","Original","1988","Rainbow Arts","Custom","","No","Yes","","Yes","","","","","","",""
"Realms","Amiga","OCS","Original","1991","Virgin","Big Box","Action, Strategy","Yes","No","Yes, Not fully working (game asks for 1 one although it is aready inserted)","Yes","Manual","","","","","",""
